,serial,OBJ_ALG,FAR_ALG,OBJ_FAR_AGG,LDCM,human_obj,human_far,human_objfaragg
90,832,2.08483551,3.752593226,2.918714368,0.459882984,3.5,4,3.75
91,835,4.659992963,9.404197269,7.032095116,0.311535207,1,4.5,2.75
92,846,0.024059222,0.8494066,0.436732911,0.741491781,1,1,1
93,887,0.657492627,2.447174575,1.552333601,-0.212601748,5,3,4
94,891,0.000216393,1.015885501,0.508050947,0.282342597,1,3.5,2.25
95,897,1.123060371,2.606368452,1.864714411,-0.081421235,1,6.5,3.75
96,898,1.755396948,4.140092273,2.94774461,0.052771492,1.5,4,2.75
97,907,2.769340111,6.274470883,4.521905497,0.276453046,1.5,3,2.25
98,912,2.185631447,6.308993948,4.247312698,0.125290439,6,7,6.5
99,917,1.580729861,2.353239925,1.966984893,0.282342597,1,2,1.5
100,933,2.476779794,6.038059093,4.257419443,0.583647386,4,3,3.5
101,944,2.34578147,5.308341565,3.827061517,0.138753938,2,4,3
102,953,1.233107664,1.639422296,1.43626498,-0.277067515,1,1,1
103,954,0.074825401,0.160823376,0.117824389,-0.814551191,2,2.5,2.25
104,961,1.705989719,7.233089524,4.469539622,0.497262153,7,7,7
106,978,2.07846297,4.632360233,3.355411602,-0.295436074,1,1,1
107,1016,2.024365074,4.017417663,3.020891368,0.151281151,2,6.5,4.25
108,1018,2.660381029,6.525172248,4.592776638,0.665490938,4,6,5
109,1028,0.589753744,1.348340199,0.969046972,-0.127406831,2.5,5,3.75
110,1047,0.012394172,0.522653982,0.267524077,0.181316152,2.5,4.5,3.5
111,1083,0.926573783,2.178783361,1.552678572,-0.859257435,3,3.5,3.25
112,1089,1.575451144,3.845878088,2.710664616,0.467874329,3,5,4
113,1093,1.165963567,3.38109929,2.273531428,0.528655637,3,7,5
114,1098,1.63029474,2.846495742,2.238395241,0.341930427,4.5,6.5,5.5
115,1101,1.583238647,3.08648902,2.334863834,0.386298134,4,3,3.5
116,1107,2.142295367,4.452439427,3.297367397,0.295703844,4.5,4,4.25
117,1136,1.473804618,2.975303225,2.224553921,-1.002482426,3.5,4.5,4
118,1155,0.778039333,1.761763507,1.26990142,-0.595538139,3.5,4.5,4
119,1162,1.377394743,2.695796553,2.036595648,-0.69665171,4,3,3.5
120,1215,1.21954382,3.587827614,2.403685717,0.372026373,3.5,2.5,3
121,1227,1.871769238,3.532506481,2.702137859,0.341930427,4,5,4.5
122,1271,0.885331893,1.16322271,1.024277302,-0.084908127,5.5,4.5,5
123,1275,0.9136909,1.489111475,1.201401188,-1.564088315,4.5,3.5,4
124,1284,0.173955666,0.287060307,0.230507987,-0.192176949,3,4.5,3.75
125,1299,0.911278919,0.863357671,0.887318295,0.063150396,3,2.5,2.75
126,1301,1.751872935,3.271724712,2.511798823,0.397078286,4,6,5
127,1302,1.837482001,1.939312117,1.888397059,-0.237950983,3,3,3
128,1327,2.524049746,4.641141018,3.582595382,-0.804944532,4,3.5,3.75
129,1342,1.64649991,3.00764257,2.32707124,0.420712248,2,3,2.5
130,1349,1.698677665,2.343974111,2.021325888,-1.313949619,4,1.5,2.75
131,1353,0,0,0,0.741491781,2.5,4,3.25
132,1360,1.85227951,3.359495183,2.605887346,0.334182553,3.5,6.5,5
133,1361,2.516602095,4.614005424,3.565303759,-0.470188365,4,3.5,3.75
134,1376,3.606812726,6.567794136,5.087303431,-0.01994321,3,4,3.5
135,1378,1.615478455,3.654587686,2.63503307,0.22770302,4,6.5,5.25
136,1384,3.113950131,6.00634007,4.560145101,0.549580979,4,4,4
137,1388,3.505050824,7.038001589,5.271526206,0.609433693,5,2.5,3.75
138,1390,3.80077426,9.450587261,6.625680761,0.428987057,4.5,5.5,5
139,1402,0.346259362,0.883944582,0.615101972,-0.005420392,4.5,4.5,4.5
140,1412,1.161779896,2.197464139,1.679622017,-0.215507262,4,4,4
141,1416,1.611860386,4.071095953,2.84147817,0.455404069,3,5,4
142,1456,2.057527307,4.135994862,3.096761084,0.223863532,5.5,2,3.75
143,1466,2.445506949,6.223806647,4.334656798,0.556705727,2.5,5,3.75
144,1468,1.685219081,3.605024698,2.645121889,0.112764478,2,3.5,2.75
145,1473,0.976431232,1.869984759,1.423207995,0.338752504,2.5,4,3.25
146,1475,1.358252301,2.539280399,1.94876635,-0.170829798,2,6,4
147,1489,1.200074752,2.571262548,1.88566865,-0.091107822,5.5,3.5,4.5
148,1497,2.028619175,5.045355785,3.53698748,-0.052607427,4,3,3.5
149,1504,0.00080247,0.002899234,0.001850852,-0.40570504,2.5,6.5,4.5
150,1520,3.492369759,7.811660279,5.652015019,0.22416057,5.5,2,3.75
151,1546,1.615478455,3.654587686,2.63503307,0.920255272,1.5,7,4.25
152,1547,2.31582648,4.738551639,3.52718906,0.261787496,2.5,3,2.75
153,1556,1.104465736,2.774401923,1.93943383,0.282342597,1.5,1,1.25
154,1572,1.932510639,5.139935519,3.536223079,-0.50921247,2,1.5,1.75
