[ROOT-INFO]: 2019-07-15 19:22:40,817: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityPolarityAverage
[ROOT-INFO]: 2019-07-15 19:22:40,818: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:23:04,068: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:04,068: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,065: Old Score: 3.127659574468085, New Score: 0.03127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,083: Old Score: 3.042553191489361, New Score: 0.03042553191489361
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,099: Old Score: 4.127659574468085, New Score: 0.04127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,132: Old Score: 4.369565217391305, New Score: 2.548913043478261
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,150: Old Score: 4.291666666666667, New Score: 2.1458333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,150: Old Score: 4.97872340425532, New Score: 0.049787234042553204
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,165: Old Score: 3.583333333333333, New Score: 0.03583333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,165: Old Score: 4.319148936170213, New Score: 0.043191489361702126
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,182: Old Score: 3.808510638297872, New Score: 0.03808510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,198: Old Score: 4.680851063829787, New Score: 0.04680851063829788
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,199: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,217: Old Score: 4.404255319148937, New Score: 0.044042553191489364
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,217: Old Score: 5.170212765957447, New Score: 0.05170212765957447
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,233: Old Score: 3.3617021276595747, New Score: 2.9881796690307327
