[ROOT-INFO]: 2019-07-15 19:18:21,704: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:18:21,704: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:18:44,412: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,414: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,256: Old Score: 3.127659574468085, New Score: 3.127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,271: Old Score: 3.042553191489361, New Score: 3.042553191489361
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,289: Old Score: 4.127659574468085, New Score: 4.127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,305: Old Score: 4.369565217391305, New Score: 3.2771739130434785
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,305: Old Score: 4.291666666666667, New Score: 2.1458333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,323: Old Score: 4.97872340425532, New Score: 4.97872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,323: Old Score: 3.583333333333333, New Score: 3.583333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,339: Old Score: 4.319148936170213, New Score: 4.319148936170213
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,355: Old Score: 3.808510638297872, New Score: 3.808510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,356: Old Score: 4.680851063829787, New Score: 4.680851063829787
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,372: Old Score: 4.872340425531915, New Score: 4.872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,372: Old Score: 4.404255319148937, New Score: 4.404255319148937
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,389: Old Score: 5.170212765957447, New Score: 5.170212765957447
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,405: Old Score: 3.3617021276595747, New Score: 1.6808510638297873
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,405: Old Score: 4.148936170212766, New Score: 4.148936170212766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,423: Old Score: 5.723404255319148, New Score: 5.43723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,423: Old Score: 5.553191489361702, New Score: 5.553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,439: Old Score: 4.212765957446808, New Score: 2.106382978723404
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,455: Old Score: 3.152173913043478, New Score: 3.152173913043478
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,456: Old Score: 5.434782608695652, New Score: 5.434782608695652
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,472: Old Score: 3.3260869565217392, New Score: 1.6630434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,490: Old Score: 3.9361702127659575, New Score: 3.9361702127659575
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,490: Old Score: 4.6382978723404245, New Score: 4.6382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,512: Old Score: 5.659574468085108, New Score: 5.659574468085108
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,528: Old Score: 5.326086956521738, New Score: 3.9945652173913038
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,537: Old Score: 5.369565217391305, New Score: 5.190579710144928
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,553: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,555: Old Score: 4.0212765957446805, New Score: 1.2063829787234044
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,572: Old Score: 4.787234042553191, New Score: 4.488031914893616
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,572: Old Score: 5.456521739130435, New Score: 2.7282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,605: Old Score: 3.765957446808511, New Score: 3.2524177949709867
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,623: Old Score: 3.9375, New Score: 1.96875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,639: Old Score: 5.108695652173913, New Score: 5.108695652173913
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,657: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,673: Old Score: 3.4782608695652173, New Score: 3.4782608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,673: Old Score: 4.958333333333333, New Score: 4.958333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,689: Old Score: 5.125, New Score: 5.125
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,705: Old Score: 3.020833333333333, New Score: 2.6432291666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,705: Old Score: 3.872340425531915, New Score: 3.872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,722: Old Score: 4.829787234042553, New Score: 4.829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,738: Old Score: 4.914893617021278, New Score: 4.914893617021278
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,738: Old Score: 3.75, New Score: 3.34375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,760: Old Score: 4.770833333333333, New Score: 3.0215277777777776
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,772: Old Score: 5.125, New Score: 5.125
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,777: Old Score: 4.333333333333333, New Score: 4.333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,795: Old Score: 3.0638297872340425, New Score: 3.0638297872340425
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,795: Old Score: 4.553191489361702, New Score: 4.553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,811: Old Score: 3.5319148936170213, New Score: 3.5319148936170213
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,829: Old Score: 4.0, New Score: 3.066666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,829: Old Score: 5.531914893617022, New Score: 5.531914893617022
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,844: Old Score: 5.0625, New Score: 5.0625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,861: Old Score: 4.6382978723404245, New Score: 4.6382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,879: Old Score: 4.229166666666667, New Score: 3.4890625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,879: Old Score: 4.723404255319148, New Score: 4.345531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,913: Old Score: 4.304347826086956, New Score: 3.1360248447204966
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,913: Old Score: 4.297872340425532, New Score: 3.2234042553191493
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,930: Old Score: 5.604166666666668, New Score: 5.604166666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,930: Old Score: 3.9583333333333335, New Score: 3.9583333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,945: Old Score: 4.173913043478262, New Score: 2.7826086956521747
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,962: Old Score: 3.8541666666666665, New Score: 3.8541666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,978: Old Score: 3.8936170212765964, New Score: 3.8936170212765964
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,978: Old Score: 5.229166666666667, New Score: 5.229166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:45,995: Old Score: 5.851063829787233, New Score: 5.2659574468085095
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,036: Old Score: 4.456521739130435, New Score: 4.456521739130435
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,071: Old Score: 3.347826086956522, New Score: 2.8270531400966186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,089: Old Score: 5.595744680851063, New Score: 5.595744680851063
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,104: Old Score: 3.4791666666666665, New Score: 0.9277777777777779
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,129: Old Score: 4.340425531914893, New Score: 4.286170212765957
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,166: Old Score: 4.574468085106383, New Score: 4.322872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,186: Old Score: 5.866666666666666, New Score: 2.273333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,203: Old Score: 6.25531914893617, New Score: 6.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,220: Old Score: 5.583333333333332, New Score: 5.304166666666665
